key,CA,Alameda,Amador,Butte,Calaveras,Contra-Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Kern,Kings,Lake,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Tulare,Tuolumne,Ventura,Yolo,Yuba,Los Angeles Metropolitan Area,S.F. Bay Area,Inland Empire
2-93,187440,201699,0,113999,0,0,0,0,98999,0,114444,84000,0,0,195681,0,323333,0,120000,90833,,209615,188750,0,210186,154610,0,137424,125500,0,135000,176960,251667,114285,179858,310000,256471,242240,243269,0,85000,0,191290,113611,,0,110000,0,202660,0,0,204998,226438,0
3-93,189130,216313,0,110999,0,0,0,0,95178,0,105000,85000,0,0,198013,0,330263,0,123333,87777,,219642,174999,0,213593,175000,0,136932,130000,0,139422,173481,266101,108333,192205,313855,219074,243510,230921,0,80000,0,190500,116341,,0,87307,0,215290,0,0,206556,230008,0
4-93,192600,219999,0,114999,0,0,0,0,96363,0,115714,91458,0,0,197547,0,315625,0,114545,104285,,203676,185000,0,207998,160000,0,131012,130000,0,132745,177710,265530,118420,176130,306044,244276,242740,237121,0,95000,0,195365,117096,,0,94230,0,213280,0,0,213719,226603,0
5-93,188850,219897,0,129166,0,0,0,0,99473,0,117618,91333,0,0,188159,0,333750,0,134999,97083,,196428,187777,0,216383,172380,0,139332,131310,0,138022,178787,258846,119614,161560,300000,177855,243450,231060,0,81667,0,201415,110370,,0,87333,0,210960,0,0,209050,233741,0
6-93,188650,228279,0,107500,0,0,0,0,94333,0,111818,95767,0,0,198428,0,354081,0,143333,95000,,195833,194285,0,214806,170880,0,140435,125600,0,134076,180937,267021,108234,183831,306604,244589,247920,237209,0,102727,0,203731,117045,,0,102381,0,223450,0,0,201843,238268,0
7-93,190540,215408,0,114210,0,0,0,0,102500,0,110000,95294,0,0,209132,0,332291,0,130000,92000,,218749,187143,0,212721,169120,0,143932,132000,0,139249,176874,259052,115999,187469,296950,230487,256250,240686,0,88999,0,201235,115909,,0,90000,0,209600,0,0,208238,233734,0
8-93,189010,223888,0,124762,0,0,0,0,98749,0,107500,89848,0,0,205319,0,342727,0,154999,95384,,189285,177332,0,215264,182220,0,140213,126500,0,137130,179624,259052,105000,185600,304255,214666,250630,235606,0,108888,0,199564,118461,,0,95499,0,223630,0,0,207132,233881,0
9-93,186740,212005,0,123600,0,0,0,0,101552,0,110624,98946,0,0,204656,0,340196,0,136249,97916,,209722,186250,0,213516,176800,0,137652,125000,0,134545,173267,258019,111111,176543,315464,228775,247900,245454,0,85000,0,192941,115250,,0,97940,0,210490,0,0,192039,229725,0
10-93,185920,208918,0,119473,0,0,0,0,100588,0,121667,88408,0,0,196762,0,334782,0,140000,100000,,180833,167500,0,208687,168260,0,135953,128000,0,133723,181805,262500,115000,170397,314204,222326,242250,232692,0,103333,0,194561,114042,,0,97999,0,208400,0,0,197835,228931,0
11-93,184700,215714,0,114166,0,0,0,0,100476,0,114999,91400,0,0,192945,0,348000,0,130000,97692,,200000,182500,0,215247,166000,0,138110,124900,0,135904,174041,263983,114062,185670,296785,205673,248930,238513,0,72500,0,193333,114736,,0,105200,0,205170,0,0,199675,242870,0
12-93,184980,207994,0,108888,0,0,0,0,101562,0,108823,92812,0,0,201134,0,324166,0,133636,103529,,198285,197999,0,213688,165850,0,134093,126000,0,133278,175624,265384,113235,169843,296801,206951,249360,227128,0,88499,0,192909,111346,,0,97058,0,205590,0,0,192623,230708,0
1-94,183046,207822,0,122143,0,0,0,0,121094,0,118181,87954,0,90000,194086,0,314815,0,140000,92143,,222499,188888,0,195031,173333,0,132347,125000,0,135973,175078,255435,113889,192359,320454,213708,245813,227083,0,75000,148000,181739,109705,,0,97999,0,204880,0,0,190229,231829,0
2-94,182258,204389,0,115999,0,0,0,0,106333,0,102667,89523,0,103750,184741,0,348333,0,120000,84444,,214772,178420,0,192535,157999,0,136216,124000,0,132112,176060,251136,104411,179425,291249,258159,249580,226351,0,65000,137726,191667,113000,,0,98333,0,204330,0,0,197937,234173,0
3-94,185472,209117,0,114705,0,0,0,0,102830,0,113499,98636,0,96999,184207,0,331147,0,135555,91818,,218749,180000,0,208442,162353,0,129582,129700,0,131102,178454,251705,111923,177504,333593,257794,259220,243023,0,83750,158461,195961,115384,,0,97222,0,199150,0,0,192554,241769,0
