County,90!1,90!2,90!3,90!4,91!1,91!2,91!3,91!4,92!1,92!2,92!3,92!4,93!1,93!2,93!3,93!4,94!1,94!2,94!3,94!4,95!1,95!2,95!3,95!4,96!1,96!2,96!3,96!4,97!1,97!2,97!3,97!4,98!1,98!2,98!3,98!4,99!1,99!2,99!3,99!4,00!1,00!2,00!3,00!4,01!1,01!2,01!3,01!4,02!1,02!2,02!3,02!4,03!1,03!2,03!3,03!4,04!1,04!2,04!3,04!4,05!1,05!2,05!3,05!4,06!1,06!2,06!3,06!4,07!1,07!2,07!3,07!4,08!1,08!2,08!3,08!4,09!1,09!2,09!3,09!4,10!1,10!2,10!3,10!4,11!1,11!2,11!3,11!4,12!1,12!2,12!3,12!4,13!1,13!2,13!3,13!4,14!1,14!2,14!3,14!4,15!1,15!2,15!3,15!4,16!1,16!2,16!3
Placer,181440,194070,192836,192533,174546,179440,178676,173520,176733,180016,175603,167643,167926,167753,176046,166703,164561,168504,171468,158021,163042,163593,166829,158750,159887,166314,158973,163511,158753,167385,172433,167888,161700,174888,180816,178678,190660,190578,196013,202821,204319,224152,223251,235179,246284,254541,258331,259114,265805,282384,296486,299988,295064,322603,342983,349784,368699,406371,425397,431886,457420,479502,504165,492824,477205,478470,469639,449745,452209,454619,436548,388980,366317,360487,346999,321666,295882,296393,300768,300568,288914,288449,288120,275970,261966,264368,264303,256096,259493,279593,296096,302483,309120,359240,366446,362153,366086,380400,384870,379053,378230,400286,396000,395046,411963,432980,431746
Mono,93291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812499,690971,730555,920833,663889,690972,625000,708333,791666,886111,594444,708333,638888,993055,566666,545833,770833,687499,618055,520833,833333,624999,411111,566666,770833,488888,477777,364880,513889,544444,464583,401388,375000,412499,513888,441666,516666,579166,474999,486111,694444,566666,516666,706250,450000,543749,515833
CA,195360,195267,191749,190008,196508,208480,201403,196555,198376,200526,196553,192333,189413,190033,188763,185200,183592,187382,186343,180063,175149,177955,181083,175812,173898,179607,180993,173963,173716,185009,191360,188867,188633,203403,206916,196713,204133,220526,221145,219874,229054,240208,247772,250077,247784,259526,275187,271520,295926,320450,326209,330649,337995,368733,390923,388436,408023,461350,466303,468593,484130,525086,550223,544400,548663,567510,567436,558953,562810,593306,570663,491020,419993,388103,342346,292716,248326,263730,291773,302970,287896,316116,316376,302133,279046,294466,294473,282103,278643,316650,340926,350770,349610,416293,434403,429806,418793,457296,469460,449453,441183,488603,490990,480786,465186,516250,519516
San Benito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251180,260046,263923,273944,310136,341318,351640,366811,368260,367355,367826,356933,360184,373372,374865,384521,381506,390652,393016,429232,441304,487243,526330,560548,624443,648916,606666,636166,613333,630483,586433,587466,593833,614991,539000,428000,380300,348816,317583,283966,259500,258509,260500,276000,293383,314833,273000,271116,270500,261666,251633,257400,249283,274783,306000,336493,329500,365206,405316,395833,407000,422500,418000,433666,453300,462996,458666,484166,479833,489833,516960
Del Norte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170000,259722,189722,179444,189999,150000,143333,138333,193888,164444,157777,189444,135555,149444,176666,189166,155000,141666,130555,148333,171666,176666,153611,148333,166666,171573,204166,233066,177780,231963,205093
Sutter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315346,292464,288146,286388,285261,280832,247876,235070,209265,194366,177324,155323,163707,166220,161267,161788,170444,169794,156721,149584,152969,146333,146383,139612,148124,154728,152305,171694,181508,203174,200966,195230,213673,220606,210473,230136,221723,231813,250080,227143,242313,263303
Kern,84648,84794,89356,86548,87234,90194,94769,91030,90293,89058,93759,93084,85023,92852,94696,90873,92037,90476,87270,84422,89611,86490,89528,88088,88889,90901,89406,89550,90683,88553,94251,87765,88313,91180,91837,90400,91390,90370,90454,83645,90430,84640,93516,90801,92563,100259,105054,104375,108021,112821,123085,130069,131048,139257,151835,149985,155516,183666,200250,209916,232224,266759,291149,289611,284833,291308,292920,278800,278833,277336,267666,247316,228333,205150,181666,152716,131039,123333,132250,138083,137166,137923,139133,130000,126500,133916,134966,134423,127676,142650,148833,155383,169733,187666,196316,194366,202113,208316,213280,212490,207016,220993,224866,214000,219403,228240,222833
Ventura,242163,236083,236016,234963,225370,233090,233583,229276,223146,223303,227350,217503,207206,215896,214573,206386,202786,207175,208233,206166,194160,199667,200386,202287,203509,210937,203455,202699,204025,219376,226370,221202,224440,232425,241032,231473,244675,252667,267279,261590,277236,305369,297341,298405,292611,314029,341755,329614,334351,360270,392614,392959,404033,467414,477824,478068,525586,617738,622144,597773,633195,667367,684847,676854,681722,692439,700963,668641,672547,694639,678204,626269,538289,488252,461726,393663,363028,417991,454766,435144,439099,444638,444000,440720,415110,438910,420500,400250,398746,427156,432050,438753,459210,520870,550426,539083,550513,571666,592323,567616,582786,617716,614146,609973,623143,645183,641920
Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252422,247169,257723,249016,247686,245873,232802,224433,210972,208890,208439,190833,168194,173333,169295,159360,164761,174523,171476,163260,146136,142613,128650,140903,141030,144380,150333,145553,151026,151306,175263,168983,173910,177453,180703,185573,186166,183856,191930,188860,200530,210720,207073
San Bernardino,126789,130930,129193,129349,131948,133566,135922,134808,135318,136189,134978,136031,136622,134947,136974,134301,133062,131739,131502,128992,122869,123787,122690,119709,117342,118426,113310,109214,110600,116137,110689,111887,95708,103308,121354,118038,114325,118835,119594,115145,113409,117064,121361,122590,119735,130612,132719,136865,134469,141292,149970,155094,158258,168483,181986,186773,198208,231376,257911,260963,280831,307235,330510,336562,342142,347767,347291,341298,332972,336078,303324,280506,241172,215142,188192,165100,135328,121744,126703,134501,135543,139161,143329,137820,133400,128616,133266,131980,131353,134933,146423,153006,157586,169736,183123,194273,188373,206246,212636,212626,212076,223780,230200,233876,232893,242383,248636
